1990-10-12 パラメデス(ホット・ビィ, 256K) 3300円
1990-10-16 ゴーストバスターズ2(HAL研究所, 1M) 3400円
1990-10-19 モンスタートラック(バリエ, 512K) 3200円
1990-10-19 ロードスター(トンキンハウス, 1M) 3300円
1990-10-23 海戦ゲーム レーダーミッション(任天堂, 1M) 2600円
1990-10-23 それ行け! アミーダ君(ココナッツジャパン, 256K) 2980円
1990-10-26 アフターバースト(メサイヤ, 512K) 3090円
1990-10-26 ベリウス ローラン城の魔獣(サミー, 512K) 3300円
1990-11-09 F1レース(任天堂, 1M) 2600円
1990-11-09 トランプボーイII(パック・イン・ビデオ, 512K) 3500円
1990-11-09 ふしぎなブロビー 〜プリンセス・ブロブを救え!〜(ジャレコ, 512K) 3400円
1990-11-16 アレサ(やのまん, 1M) 3800円
1990-11-16 パックマン(ナムコ, 512K) 3500円
1990-11-16 パラソルヘンべえ(エポック社 セタ, 512K) 3300円
1990-11-30 キャデラックII(ヘクト, 512K) 3300円
1990-11-30 GO!GO!TANK(コピアシステム, 512K) 3400円
1990-11-30 バトル・ブル(セタ, 1M) 3500円
1990-12-07 海戦ゲーム NAVYBLUE 90(ユース, 1M) 3500円
1990-12-07 ころダイス(キングレコード, 256K) 3300円
1990-12-07 スコットランドヤード(東映動画, 1M) 3300円
1990-12-07 ちびまる子ちゃん おこづかい大作戦!(タカラ, 512K) 3400円
1990-12-07 熱血硬派くにおくん 番外乱闘編(テクノスジャパン, 1M) 3500円
1990-12-07 バブルボブル(タイトー, 1M) 3600円
1990-12-07 ペインターモモピー(シグマ商事, 512K) 3300円
1990-12-07 ヘッドオン(テクモ, 512K) 3300円
1990-12-08 鬼忍降魔録 ONI(バンプレスト, 1M) 3800円
1990-12-11 スパルタンX(アイレム, 512K) 3500円
1990-12-12 プリプリ PRIMITIVE PRINCESS!(サンソフト, 512K) 3200円
1990-12-13 ドラゴンテール(アイマックス, 1M) 3500円
1990-12-14 カード＆パズル コレクション 銀河(ホット・ビィ, 512K) 3500円
1990-12-14 クラックス(ハドソン, 256K) 3500円
1990-12-14 Sa・Ga2 秘宝伝説(スクウェア, 2M) 4800円
1990-12-14 ネコジャラ物語(KEMCO, 1M) 3300円
1990-12-14 ポケットスタジアム(アトラス, 512K) 3300円
1990-12-18 ゴジラくん 怪獣大行進(東宝, 1M) 3500円
1990-12-20 ポン太とヒナ子の珍道中 〜友情編〜(ナグザット, 512K) 3400円
1990-12-21 石田芳夫 詰碁パラダイス(ポニーキャニオン, 512K) 3400円
1990-12-21 カプコンクイズ ハテナ?の大冒険(カプコン, 2M) 3500円
1990-12-21 グレムリン2 -新・種・誕・生-(サンソフト, 1M) 3400円
1990-12-21 バトルユニットZEOTH(ジャレコ, 1M) 3400円
1990-12-21 バブルゴースト(ポニーキャニオン, 256K) 3090円
1990-12-22 飛龍の拳外伝(カルチャーブレーン, 1M) 3500円
1990-12-22 モンスターメーカー(ソフエル, 1M) 3500円
1990-12-23 アメリカ横断ウルトラクイズ(トミー, 2M) 3980円
1990-12-31 ドルアーガの塔(エンジェル, 1M) 3500円
1991-01-08 コントラ(コナミ, 1M) 3500円
1991-01-08 突撃!ポンコツタンク(HAL研究所, 1M) 3300円
1991-01-11 タイトーチェイスH.Q.(タイトー, 1M) 3600円
1991-01-25 突撃ばれいしょんず(アトラス, 512K) 3300円
1991-02-08 鬼ヶ島パチンコ店(ココナッツジャパン, 1M) 3500円
1991-02-08 ライサンダー(ニチブツ, 1M) 3600円
1991-02-15 バーガータイム・デラックス(DECO, 512K) 3300円
1991-02-15 三毛猫ホームズの騎士道(アスク講談社, 1M) 3500円
1991-02-26 怒りの要塞(ジャレコ, 1M) 3400円
1991-02-28 レーシング魂(アイレム, 512K) 3500円
1991-02-28 F-1スピリット(コナミ, 1M) 3500円
